param nf:= 30 ;
param nn:= 18 ;
param: E: d:=
 0 1 10
 0 3 10
 1 2 10
 1 4 10
 2 5 10
 3 4 10
 3 6 10
 4 5 10
 4 7 10
 5 8 10
 6 7 10
 7 8 10
 9 10 10
 9 12 10
 10 11 10
 10 13 10
 11 14 10
 12 13 10
 12 15 10
 13 14 10
 13 16 10
 14 17 10
 15 16 10
 16 17 10
 1 0 10
 3 0 10
 2 1 10
 4 1 10
 5 2 10
 4 3 10
 6 3 10
 5 4 10
 7 4 10
 8 5 10
 7 6 10
 8 7 10
 10 9 10
 12 9 10
 11 10 10
 13 10 10
 14 11 10
 13 12 10
 15 12 10
 14 13 10
 16 13 10
 17 14 10
 16 15 10
 17 16 10
 6 9 10
 11 8 10;
param s:=
4 0 1 1		4 0 3 1		4 1 2 1		4 1 4 1		4 2 5 1		4 3 4 1		4 3 6 1		4 4 5 1		4 4 7 1		4 5 8 1		4 6 7 1		4 7 8 1		4 9 10 1		4 9 12 1		4 10 11 1		4 10 13 1		4 11 14 1		4 12 13 1		4 12 15 1		4 13 14 1		4 13 16 1		4 14 17 1		4 15 16 1		4 16 17 1		4 1 0 1		4 3 0 1		4 2 1 1		4 4 1 1		4 5 2 1		4 4 3 1		4 6 3 1		4 5 4 1		4 7 4 1		4 8 5 1		4 7 6 1		4 8 7 1		4 10 9 1		4 12 9 1		4 11 10 1		4 13 10 1		4 14 11 1		4 13 12 1		4 15 12 1		4 14 13 1		4 16 13 1		4 17 14 1		4 16 15 1		4 17 16 1		4 6 9 1		4 11 8 1		
5 0 1 1		5 0 3 1		5 1 2 1		5 1 4 1		5 2 5 1		5 3 4 1		5 3 6 1		5 4 5 1		5 4 7 1		5 5 8 1		5 6 7 1		5 7 8 1		5 9 10 1		5 9 12 1		5 10 11 1		5 10 13 1		5 11 14 1		5 12 13 1		5 12 15 1		5 13 14 1		5 13 16 1		5 14 17 1		5 15 16 1		5 16 17 1		5 1 0 1		5 3 0 1		5 2 1 1		5 4 1 1		5 5 2 1		5 4 3 1		5 6 3 1		5 5 4 1		5 7 4 1		5 8 5 1		5 7 6 1		5 8 7 1		5 10 9 1		5 12 9 1		5 11 10 1		5 13 10 1		5 14 11 1		5 13 12 1		5 15 12 1		5 14 13 1		5 16 13 1		5 17 14 1		5 16 15 1		5 17 16 1		5 6 9 1		5 11 8 1		
6 0 1 1		6 0 3 1		6 1 2 1		6 1 4 1		6 2 5 1		6 3 4 1		6 3 6 1		6 4 5 1		6 4 7 1		6 5 8 1		6 6 7 1		6 7 8 1		6 9 10 1		6 9 12 1		6 10 11 1		6 10 13 1		6 11 14 1		6 12 13 1		6 12 15 1		6 13 14 1		6 13 16 1		6 14 17 1		6 15 16 1		6 16 17 1		6 1 0 1		6 3 0 1		6 2 1 1		6 4 1 1		6 5 2 1		6 4 3 1		6 6 3 1		6 5 4 1		6 7 4 1		6 8 5 1		6 7 6 1		6 8 7 1		6 10 9 1		6 12 9 1		6 11 10 1		6 13 10 1		6 14 11 1		6 13 12 1		6 15 12 1		6 14 13 1		6 16 13 1		6 17 14 1		6 16 15 1		6 17 16 1		6 6 9 1		6 11 8 1		
7 0 1 1		7 0 3 1		7 1 2 1		7 1 4 1		7 2 5 1		7 3 4 1		7 3 6 1		7 4 5 1		7 4 7 1		7 5 8 1		7 6 7 1		7 7 8 1		7 9 10 1		7 9 12 1		7 10 11 1		7 10 13 1		7 11 14 1		7 12 13 1		7 12 15 1		7 13 14 1		7 13 16 1		7 14 17 1		7 15 16 1		7 16 17 1		7 1 0 1		7 3 0 1		7 2 1 1		7 4 1 1		7 5 2 1		7 4 3 1		7 6 3 1		7 5 4 1		7 7 4 1		7 8 5 1		7 7 6 1		7 8 7 1		7 10 9 1		7 12 9 1		7 11 10 1		7 13 10 1		7 14 11 1		7 13 12 1		7 15 12 1		7 14 13 1		7 16 13 1		7 17 14 1		7 16 15 1		7 17 16 1		7 6 9 1		7 11 8 1		
8 0 1 1		8 0 3 1		8 1 2 1		8 1 4 1		8 2 5 1		8 3 4 1		8 3 6 1		8 4 5 1		8 4 7 1		8 5 8 1		8 6 7 1		8 7 8 1		8 9 10 1		8 9 12 1		8 10 11 1		8 10 13 1		8 11 14 1		8 12 13 1		8 12 15 1		8 13 14 1		8 13 16 1		8 14 17 1		8 15 16 1		8 16 17 1		8 1 0 1		8 3 0 1		8 2 1 1		8 4 1 1		8 5 2 1		8 4 3 1		8 6 3 1		8 5 4 1		8 7 4 1		8 8 5 1		8 7 6 1		8 8 7 1		8 10 9 1		8 12 9 1		8 11 10 1		8 13 10 1		8 14 11 1		8 13 12 1		8 15 12 1		8 14 13 1		8 16 13 1		8 17 14 1		8 16 15 1		8 17 16 1		8 6 9 1		8 11 8 1		
9 0 1 1		9 0 3 1		9 1 2 1		9 1 4 1		9 2 5 1		9 3 4 1		9 3 6 1		9 4 5 1		9 4 7 1		9 5 8 1		9 6 7 1		9 7 8 1		9 9 10 1		9 9 12 1		9 10 11 1		9 10 13 1		9 11 14 1		9 12 13 1		9 12 15 1		9 13 14 1		9 13 16 1		9 14 17 1		9 15 16 1		9 16 17 1		9 1 0 1		9 3 0 1		9 2 1 1		9 4 1 1		9 5 2 1		9 4 3 1		9 6 3 1		9 5 4 1		9 7 4 1		9 8 5 1		9 7 6 1		9 8 7 1		9 10 9 1		9 12 9 1		9 11 10 1		9 13 10 1		9 14 11 1		9 13 12 1		9 15 12 1		9 14 13 1		9 16 13 1		9 17 14 1		9 16 15 1		9 17 16 1		9 6 9 1		9 11 8 1		
10 0 1 1		10 0 3 1		10 1 2 1		10 1 4 1		10 2 5 1		10 3 4 1		10 3 6 1		10 4 5 1		10 4 7 1		10 5 8 1		10 6 7 1		10 7 8 1		10 9 10 1		10 9 12 1		10 10 11 1		10 10 13 1		10 11 14 1		10 12 13 1		10 12 15 1		10 13 14 1		10 13 16 1		10 14 17 1		10 15 16 1		10 16 17 1		10 1 0 1		10 3 0 1		10 2 1 1		10 4 1 1		10 5 2 1		10 4 3 1		10 6 3 1		10 5 4 1		10 7 4 1		10 8 5 1		10 7 6 1		10 8 7 1		10 10 9 1		10 12 9 1		10 11 10 1		10 13 10 1		10 14 11 1		10 13 12 1		10 15 12 1		10 14 13 1		10 16 13 1		10 17 14 1		10 16 15 1		10 17 16 1		10 6 9 1		10 11 8 1		
11 0 1 1		11 0 3 1		11 1 2 1		11 1 4 1		11 2 5 1		11 3 4 1		11 3 6 1		11 4 5 1		11 4 7 1		11 5 8 1		11 6 7 1		11 7 8 1		11 9 10 1		11 9 12 1		11 10 11 1		11 10 13 1		11 11 14 1		11 12 13 1		11 12 15 1		11 13 14 1		11 13 16 1		11 14 17 1		11 15 16 1		11 16 17 1		11 1 0 1		11 3 0 1		11 2 1 1		11 4 1 1		11 5 2 1		11 4 3 1		11 6 3 1		11 5 4 1		11 7 4 1		11 8 5 1		11 7 6 1		11 8 7 1		11 10 9 1		11 12 9 1		11 11 10 1		11 13 10 1		11 14 11 1		11 13 12 1		11 15 12 1		11 14 13 1		11 16 13 1		11 17 14 1		11 16 15 1		11 17 16 1		11 6 9 1		11 11 8 1		
12 0 1 1		12 0 3 1		12 1 2 1		12 1 4 1		12 2 5 1		12 3 4 1		12 3 6 1		12 4 5 1		12 4 7 1		12 5 8 1		12 6 7 1		12 7 8 1		12 9 10 1		12 9 12 1		12 10 11 1		12 10 13 1		12 11 14 1		12 12 13 1		12 12 15 1		12 13 14 1		12 13 16 1		12 14 17 1		12 15 16 1		12 16 17 1		12 1 0 1		12 3 0 1		12 2 1 1		12 4 1 1		12 5 2 1		12 4 3 1		12 6 3 1		12 5 4 1		12 7 4 1		12 8 5 1		12 7 6 1		12 8 7 1		12 10 9 1		12 12 9 1		12 11 10 1		12 13 10 1		12 14 11 1		12 13 12 1		12 15 12 1		12 14 13 1		12 16 13 1		12 17 14 1		12 16 15 1		12 17 16 1		12 6 9 1		12 11 8 1		
13 0 1 1		13 0 3 1		13 1 2 1		13 1 4 1		13 2 5 1		13 3 4 1		13 3 6 1		13 4 5 1		13 4 7 1		13 5 8 1		13 6 7 1		13 7 8 1		13 9 10 1		13 9 12 1		13 10 11 1		13 10 13 1		13 11 14 1		13 12 13 1		13 12 15 1		13 13 14 1		13 13 16 1		13 14 17 1		13 15 16 1		13 16 17 1		13 1 0 1		13 3 0 1		13 2 1 1		13 4 1 1		13 5 2 1		13 4 3 1		13 6 3 1		13 5 4 1		13 7 4 1		13 8 5 1		13 7 6 1		13 8 7 1		13 10 9 1		13 12 9 1		13 11 10 1		13 13 10 1		13 14 11 1		13 13 12 1		13 15 12 1		13 14 13 1		13 16 13 1		13 17 14 1		13 16 15 1		13 17 16 1		13 6 9 1		13 11 8 1		
14 0 1 1		14 0 3 1		14 1 2 1		14 1 4 1		14 2 5 1		14 3 4 1		14 3 6 1		14 4 5 1		14 4 7 1		14 5 8 1		14 6 7 1		14 7 8 1		14 9 10 1		14 9 12 1		14 10 11 1		14 10 13 1		14 11 14 1		14 12 13 1		14 12 15 1		14 13 14 1		14 13 16 1		14 14 17 1		14 15 16 1		14 16 17 1		14 1 0 1		14 3 0 1		14 2 1 1		14 4 1 1		14 5 2 1		14 4 3 1		14 6 3 1		14 5 4 1		14 7 4 1		14 8 5 1		14 7 6 1		14 8 7 1		14 10 9 1		14 12 9 1		14 11 10 1		14 13 10 1		14 14 11 1		14 13 12 1		14 15 12 1		14 14 13 1		14 16 13 1		14 17 14 1		14 16 15 1		14 17 16 1		14 6 9 1		14 11 8 1		
15 0 1 1		15 0 3 1		15 1 2 1		15 1 4 1		15 2 5 1		15 3 4 1		15 3 6 1		15 4 5 1		15 4 7 1		15 5 8 1		15 6 7 1		15 7 8 1		15 9 10 1		15 9 12 1		15 10 11 1		15 10 13 1		15 11 14 1		15 12 13 1		15 12 15 1		15 13 14 1		15 13 16 1		15 14 17 1		15 15 16 1		15 16 17 1		15 1 0 1		15 3 0 1		15 2 1 1		15 4 1 1		15 5 2 1		15 4 3 1		15 6 3 1		15 5 4 1		15 7 4 1		15 8 5 1		15 7 6 1		15 8 7 1		15 10 9 1		15 12 9 1		15 11 10 1		15 13 10 1		15 14 11 1		15 13 12 1		15 15 12 1		15 14 13 1		15 16 13 1		15 17 14 1		15 16 15 1		15 17 16 1		15 6 9 1		15 11 8 1		
16 0 1 1		16 0 3 1		16 1 2 1		16 1 4 1		16 2 5 1		16 3 4 1		16 3 6 1		16 4 5 1		16 4 7 1		16 5 8 1		16 6 7 1		16 7 8 1		16 9 10 1		16 9 12 1		16 10 11 1		16 10 13 1		16 11 14 1		16 12 13 1		16 12 15 1		16 13 14 1		16 13 16 1		16 14 17 1		16 15 16 1		16 16 17 1		16 1 0 1		16 3 0 1		16 2 1 1		16 4 1 1		16 5 2 1		16 4 3 1		16 6 3 1		16 5 4 1		16 7 4 1		16 8 5 1		16 7 6 1		16 8 7 1		16 10 9 1		16 12 9 1		16 11 10 1		16 13 10 1		16 14 11 1		16 13 12 1		16 15 12 1		16 14 13 1		16 16 13 1		16 17 14 1		16 16 15 1		16 17 16 1		16 6 9 1		16 11 8 1		
17 0 1 1		17 0 3 1		17 1 2 1		17 1 4 1		17 2 5 1		17 3 4 1		17 3 6 1		17 4 5 1		17 4 7 1		17 5 8 1		17 6 7 1		17 7 8 1		17 9 10 1		17 9 12 1		17 10 11 1		17 10 13 1		17 11 14 1		17 12 13 1		17 12 15 1		17 13 14 1		17 13 16 1		17 14 17 1		17 15 16 1		17 16 17 1		17 1 0 1		17 3 0 1		17 2 1 1		17 4 1 1		17 5 2 1		17 4 3 1		17 6 3 1		17 5 4 1		17 7 4 1		17 8 5 1		17 7 6 1		17 8 7 1		17 10 9 1		17 12 9 1		17 11 10 1		17 13 10 1		17 14 11 1		17 13 12 1		17 15 12 1		17 14 13 1		17 16 13 1		17 17 14 1		17 16 15 1		17 17 16 1		17 6 9 1		17 11 8 1		
18 0 1 1		18 0 3 1		18 1 2 1		18 1 4 1		18 2 5 1		18 3 4 1		18 3 6 1		18 4 5 1		18 4 7 1		18 5 8 1		18 6 7 1		18 7 8 1		18 9 10 1		18 9 12 1		18 10 11 1		18 10 13 1		18 11 14 1		18 12 13 1		18 12 15 1		18 13 14 1		18 13 16 1		18 14 17 1		18 15 16 1		18 16 17 1		18 1 0 1		18 3 0 1		18 2 1 1		18 4 1 1		18 5 2 1		18 4 3 1		18 6 3 1		18 5 4 1		18 7 4 1		18 8 5 1		18 7 6 1		18 8 7 1		18 10 9 1		18 12 9 1		18 11 10 1		18 13 10 1		18 14 11 1		18 13 12 1		18 15 12 1		18 14 13 1		18 16 13 1		18 17 14 1		18 16 15 1		18 17 16 1		18 6 9 1		18 11 8 1		
19 0 1 1		19 0 3 1		19 1 2 1		19 1 4 1		19 2 5 1		19 3 4 1		19 3 6 1		19 4 5 1		19 4 7 1		19 5 8 1		19 6 7 1		19 7 8 1		19 9 10 1		19 9 12 1		19 10 11 1		19 10 13 1		19 11 14 1		19 12 13 1		19 12 15 1		19 13 14 1		19 13 16 1		19 14 17 1		19 15 16 1		19 16 17 1		19 1 0 1		19 3 0 1		19 2 1 1		19 4 1 1		19 5 2 1		19 4 3 1		19 6 3 1		19 5 4 1		19 7 4 1		19 8 5 1		19 7 6 1		19 8 7 1		19 10 9 1		19 12 9 1		19 11 10 1		19 13 10 1		19 14 11 1		19 13 12 1		19 15 12 1		19 14 13 1		19 16 13 1		19 17 14 1		19 16 15 1		19 17 16 1		19 6 9 1		19 11 8 1		
20 0 1 1		20 0 3 1		20 1 2 1		20 1 4 1		20 2 5 1		20 3 4 1		20 3 6 1		20 4 5 1		20 4 7 1		20 5 8 1		20 6 7 1		20 7 8 1		20 9 10 1		20 9 12 1		20 10 11 1		20 10 13 1		20 11 14 1		20 12 13 1		20 12 15 1		20 13 14 1		20 13 16 1		20 14 17 1		20 15 16 1		20 16 17 1		20 1 0 1		20 3 0 1		20 2 1 1		20 4 1 1		20 5 2 1		20 4 3 1		20 6 3 1		20 5 4 1		20 7 4 1		20 8 5 1		20 7 6 1		20 8 7 1		20 10 9 1		20 12 9 1		20 11 10 1		20 13 10 1		20 14 11 1		20 13 12 1		20 15 12 1		20 14 13 1		20 16 13 1		20 17 14 1		20 16 15 1		20 17 16 1		20 6 9 1		20 11 8 1		
21 0 1 1		21 0 3 1		21 1 2 1		21 1 4 1		21 2 5 1		21 3 4 1		21 3 6 1		21 4 5 1		21 4 7 1		21 5 8 1		21 6 7 1		21 7 8 1		21 9 10 1		21 9 12 1		21 10 11 1		21 10 13 1		21 11 14 1		21 12 13 1		21 12 15 1		21 13 14 1		21 13 16 1		21 14 17 1		21 15 16 1		21 16 17 1		21 1 0 1		21 3 0 1		21 2 1 1		21 4 1 1		21 5 2 1		21 4 3 1		21 6 3 1		21 5 4 1		21 7 4 1		21 8 5 1		21 7 6 1		21 8 7 1		21 10 9 1		21 12 9 1		21 11 10 1		21 13 10 1		21 14 11 1		21 13 12 1		21 15 12 1		21 14 13 1		21 16 13 1		21 17 14 1		21 16 15 1		21 17 16 1		21 6 9 1		21 11 8 1		
22 0 1 1		22 0 3 1		22 1 2 1		22 1 4 1		22 2 5 1		22 3 4 1		22 3 6 1		22 4 5 1		22 4 7 1		22 5 8 1		22 6 7 1		22 7 8 1		22 9 10 1		22 9 12 1		22 10 11 1		22 10 13 1		22 11 14 1		22 12 13 1		22 12 15 1		22 13 14 1		22 13 16 1		22 14 17 1		22 15 16 1		22 16 17 1		22 1 0 1		22 3 0 1		22 2 1 1		22 4 1 1		22 5 2 1		22 4 3 1		22 6 3 1		22 5 4 1		22 7 4 1		22 8 5 1		22 7 6 1		22 8 7 1		22 10 9 1		22 12 9 1		22 11 10 1		22 13 10 1		22 14 11 1		22 13 12 1		22 15 12 1		22 14 13 1		22 16 13 1		22 17 14 1		22 16 15 1		22 17 16 1		22 6 9 1		22 11 8 1		
23 0 1 1		23 0 3 1		23 1 2 1		23 1 4 1		23 2 5 1		23 3 4 1		23 3 6 1		23 4 5 1		23 4 7 1		23 5 8 1		23 6 7 1		23 7 8 1		23 9 10 1		23 9 12 1		23 10 11 1		23 10 13 1		23 11 14 1		23 12 13 1		23 12 15 1		23 13 14 1		23 13 16 1		23 14 17 1		23 15 16 1		23 16 17 1		23 1 0 1		23 3 0 1		23 2 1 1		23 4 1 1		23 5 2 1		23 4 3 1		23 6 3 1		23 5 4 1		23 7 4 1		23 8 5 1		23 7 6 1		23 8 7 1		23 10 9 1		23 12 9 1		23 11 10 1		23 13 10 1		23 14 11 1		23 13 12 1		23 15 12 1		23 14 13 1		23 16 13 1		23 17 14 1		23 16 15 1		23 17 16 1		23 6 9 1		23 11 8 1		
24 0 1 1		24 0 3 1		24 1 2 1		24 1 4 1		24 2 5 1		24 3 4 1		24 3 6 1		24 4 5 1		24 4 7 1		24 5 8 1		24 6 7 1		24 7 8 1		24 9 10 1		24 9 12 1		24 10 11 1		24 10 13 1		24 11 14 1		24 12 13 1		24 12 15 1		24 13 14 1		24 13 16 1		24 14 17 1		24 15 16 1		24 16 17 1		24 1 0 1		24 3 0 1		24 2 1 1		24 4 1 1		24 5 2 1		24 4 3 1		24 6 3 1		24 5 4 1		24 7 4 1		24 8 5 1		24 7 6 1		24 8 7 1		24 10 9 1		24 12 9 1		24 11 10 1		24 13 10 1		24 14 11 1		24 13 12 1		24 15 12 1		24 14 13 1		24 16 13 1		24 17 14 1		24 16 15 1		24 17 16 1		24 6 9 1		24 11 8 1		
25 0 1 1		25 0 3 1		25 1 2 1		25 1 4 1		25 2 5 1		25 3 4 1		25 3 6 1		25 4 5 1		25 4 7 1		25 5 8 1		25 6 7 1		25 7 8 1		25 9 10 1		25 9 12 1		25 10 11 1		25 10 13 1		25 11 14 1		25 12 13 1		25 12 15 1		25 13 14 1		25 13 16 1		25 14 17 1		25 15 16 1		25 16 17 1		25 1 0 1		25 3 0 1		25 2 1 1		25 4 1 1		25 5 2 1		25 4 3 1		25 6 3 1		25 5 4 1		25 7 4 1		25 8 5 1		25 7 6 1		25 8 7 1		25 10 9 1		25 12 9 1		25 11 10 1		25 13 10 1		25 14 11 1		25 13 12 1		25 15 12 1		25 14 13 1		25 16 13 1		25 17 14 1		25 16 15 1		25 17 16 1		25 6 9 1		25 11 8 1		
26 0 1 1		26 0 3 1		26 1 2 1		26 1 4 1		26 2 5 1		26 3 4 1		26 3 6 1		26 4 5 1		26 4 7 1		26 5 8 1		26 6 7 1		26 7 8 1		26 9 10 1		26 9 12 1		26 10 11 1		26 10 13 1		26 11 14 1		26 12 13 1		26 12 15 1		26 13 14 1		26 13 16 1		26 14 17 1		26 15 16 1		26 16 17 1		26 1 0 1		26 3 0 1		26 2 1 1		26 4 1 1		26 5 2 1		26 4 3 1		26 6 3 1		26 5 4 1		26 7 4 1		26 8 5 1		26 7 6 1		26 8 7 1		26 10 9 1		26 12 9 1		26 11 10 1		26 13 10 1		26 14 11 1		26 13 12 1		26 15 12 1		26 14 13 1		26 16 13 1		26 17 14 1		26 16 15 1		26 17 16 1		26 6 9 1		26 11 8 1		
27 0 1 1		27 0 3 1		27 1 2 1		27 1 4 1		27 2 5 1		27 3 4 1		27 3 6 1		27 4 5 1		27 4 7 1		27 5 8 1		27 6 7 1		27 7 8 1		27 9 10 1		27 9 12 1		27 10 11 1		27 10 13 1		27 11 14 1		27 12 13 1		27 12 15 1		27 13 14 1		27 13 16 1		27 14 17 1		27 15 16 1		27 16 17 1		27 1 0 1		27 3 0 1		27 2 1 1		27 4 1 1		27 5 2 1		27 4 3 1		27 6 3 1		27 5 4 1		27 7 4 1		27 8 5 1		27 7 6 1		27 8 7 1		27 10 9 1		27 12 9 1		27 11 10 1		27 13 10 1		27 14 11 1		27 13 12 1		27 15 12 1		27 14 13 1		27 16 13 1		27 17 14 1		27 16 15 1		27 17 16 1		27 6 9 1		27 11 8 1		
28 0 1 1		28 0 3 1		28 1 2 1		28 1 4 1		28 2 5 1		28 3 4 1		28 3 6 1		28 4 5 1		28 4 7 1		28 5 8 1		28 6 7 1		28 7 8 1		28 9 10 1		28 9 12 1		28 10 11 1		28 10 13 1		28 11 14 1		28 12 13 1		28 12 15 1		28 13 14 1		28 13 16 1		28 14 17 1		28 15 16 1		28 16 17 1		28 1 0 1		28 3 0 1		28 2 1 1		28 4 1 1		28 5 2 1		28 4 3 1		28 6 3 1		28 5 4 1		28 7 4 1		28 8 5 1		28 7 6 1		28 8 7 1		28 10 9 1		28 12 9 1		28 11 10 1		28 13 10 1		28 14 11 1		28 13 12 1		28 15 12 1		28 14 13 1		28 16 13 1		28 17 14 1		28 16 15 1		28 17 16 1		28 6 9 1		28 11 8 1		
29 0 1 1		29 0 3 1		29 1 2 1		29 1 4 1		29 2 5 1		29 3 4 1		29 3 6 1		29 4 5 1		29 4 7 1		29 5 8 1		29 6 7 1		29 7 8 1		29 9 10 1		29 9 12 1		29 10 11 1		29 10 13 1		29 11 14 1		29 12 13 1		29 12 15 1		29 13 14 1		29 13 16 1		29 14 17 1		29 15 16 1		29 16 17 1		29 1 0 1		29 3 0 1		29 2 1 1		29 4 1 1		29 5 2 1		29 4 3 1		29 6 3 1		29 5 4 1		29 7 4 1		29 8 5 1		29 7 6 1		29 8 7 1		29 10 9 1		29 12 9 1		29 11 10 1		29 13 10 1		29 14 11 1		29 13 12 1		29 15 12 1		29 14 13 1		29 16 13 1		29 17 14 1		29 16 15 1		29 17 16 1		29 6 9 1		29 11 8 1		 ;
param v_max:=
0 0 1 2		0 0 3 2		0 1 2 2		0 1 4 2		0 2 5 2		0 3 4 2		0 3 6 2		0 4 5 2		0 4 7 2		0 5 8 2		0 6 7 2		0 7 8 2		0 9 10 2		0 9 12 2		0 10 11 2		0 10 13 2		0 11 14 2		0 12 13 2		0 12 15 2		0 13 14 2		0 13 16 2		0 14 17 2		0 15 16 2		0 16 17 2		0 1 0 2		0 3 0 2		0 2 1 2		0 4 1 2		0 5 2 2		0 4 3 2		0 6 3 2		0 5 4 2		0 7 4 2		0 8 5 2		0 7 6 2		0 8 7 2		0 10 9 2		0 12 9 2		0 11 10 2		0 13 10 2		0 14 11 2		0 13 12 2		0 15 12 2		0 14 13 2		0 16 13 2		0 17 14 2		0 16 15 2		0 17 16 2		0 6 9 2		0 11 8 2		
1 0 1 2		1 0 3 2		1 1 2 2		1 1 4 2		1 2 5 2		1 3 4 2		1 3 6 2		1 4 5 2		1 4 7 2		1 5 8 2		1 6 7 2		1 7 8 2		1 9 10 2		1 9 12 2		1 10 11 2		1 10 13 2		1 11 14 2		1 12 13 2		1 12 15 2		1 13 14 2		1 13 16 2		1 14 17 2		1 15 16 2		1 16 17 2		1 1 0 2		1 3 0 2		1 2 1 2		1 4 1 2		1 5 2 2		1 4 3 2		1 6 3 2		1 5 4 2		1 7 4 2		1 8 5 2		1 7 6 2		1 8 7 2		1 10 9 2		1 12 9 2		1 11 10 2		1 13 10 2		1 14 11 2		1 13 12 2		1 15 12 2		1 14 13 2		1 16 13 2		1 17 14 2		1 16 15 2		1 17 16 2		1 6 9 2		1 11 8 2		
