Data Name,Total,Binary,Integer,Linear
airport44nDr0nDe1,6157,2623,34,2948
airport44nDr0nDe2,11268,5048,46,4206
airport44nDr0nDe3,18041,8903,60,5720
airport44nDr1nDe0,3164,1316,30,1818
airport44nDr1nDe1,6225,2619,34,3020
airport45nDr0nDe1,21880,13610,84,7634
airport45nDr0nDe2,25188,15298,84,7844
airport45nDr0nDe3,27386,15764,84,8176
airport45nDr1nDe0,16851,10939,76,5836
airport45nDr1nDe1,16476,9974,68,5882
airport46nDr0nDe1,13610,8116,54,4888
airport46nDr0nDe2,22743,14185,70,6526
airport46nDr0nDe3,32257,19793,92,9012
airport46nDr1nDe0,4815,2823,30,1962
airport46nDr1nDe1,15177,9215,60,5350
airport47nDr0nDe1,14816,8958,58,5248
airport47nDr0nDe2,26645,16949,82,7650
airport47nDr0nDe3,29823,18087,82,8298
airport47nDr1nDe0,5933,3497,36,2400
airport47nDr1nDe1,13111,7629,54,4876
airport48nDr0nDe1,20595,13825,68,6150
airport48nDr0nDe2,24262,15694,72,6536
airport48nDr0nDe3,11278,4446,32,3452
airport48nDr1nDe0,19210,13650,68,5492
airport48nDr1nDe1,13955,8685,50,4668
airport49nDr0nDe1,23552,14886,86,8028
airport49nDr0nDe2,26149,15945,86,8150
airport49nDr0nDe3,29196,17150,86,8582
airport49nDr1nDe0,20733,13369,86,7278
airport49nDr1nDe1,21920,14090,84,7194
airport4nDr0nDe1,22822,14464,84,7722
airport4nDr0nDe2,25514,15598,84,7864
airport4nDr0nDe3,27991,16451,84,8096
airport4nDr1nDe0,15555,10103,70,5382
airport4nDr1nDe1,20611,13273,78,6708
airport50nDr0nDe1,25045,16543,90,7860
airport50nDr0nDe2,9686,4172,40,3512
airport50nDr0nDe3,12109,4775,40,3944
airport50nDr1nDe0,13941,8917,64,4960
airport50nDr1nDe1,19309,12367,72,6318
airport51nDr0nDe1,6484,2738,36,3158
airport51nDr0nDe2,12260,5806,48,4444
airport51nDr0nDe3,10892,3800,36,3700
airport51nDr1nDe0,706,170,10,526
airport51nDr1nDe1,9835,5073,46,4164
airport52nDr0nDe1,8818,4224,44,3998
airport52nDr0nDe2,8669,3363,36,3308
airport52nDr0nDe3,23526,13188,76,6912
airport52nDr1nDe0,2781,1113,26,1642
airport52nDr1nDe1,9355,4569,46,4188
airport53nDr0nDe1,24890,16152,86,8100
airport53nDr0nDe2,27847,17471,86,8322
airport53nDr0nDe3,30427,18195,86,8774
airport53nDr1nDe0,22075,14771,86,7218
airport53nDr1nDe1,23322,15448,82,7240
airport54nDr0nDe1,21131,13205,76,7298
airport54nDr0nDe2,22750,13554,76,7160
airport54nDr0nDe3,26706,15486,76,7784
airport54nDr1nDe0,18272,12056,76,6140
airport54nDr1nDe1,18337,11535,70,6180
airport55nDr0nDe1,18353,11507,74,6220
airport55nDr0nDe2,22529,13333,78,7150
airport55nDr0nDe3,25733,14471,78,7814
airport55nDr1nDe0,11156,6992,56,4108
airport55nDr1nDe1,5391,2181,28,2630
airport56nDr0nDe1,11993,6651,56,4734
airport56nDr0nDe2,13265,6657,54,4594
airport56nDr0nDe3,10929,3815,38,3714
airport56nDr1nDe0,3573,1613,30,1930
airport56nDr1nDe1,12375,7069,56,4698
airport57nDr0nDe1,23899,15633,88,7626
airport57nDr0nDe2,26597,16811,88,7736
airport57nDr0nDe3,16564,7886,54,5266
airport57nDr1nDe0,18517,12305,78,6134
airport57nDr1nDe1,8384,4086,42,3704
airport58nDr0nDe1,6278,2716,32,2978
airport58nDr0nDe2,8605,3339,34,3270
airport58nDr0nDe3,14331,6285,46,4646
airport58nDr1nDe0,2881,1373,24,1484
airport58nDr1nDe1,11554,6320,52,4630
airport59nDr0nDe1,15709,9515,64,5578
airport59nDr0nDe2,21460,12656,78,6770
airport59nDr0nDe3,13985,6121,44,4472
airport59nDr1nDe0,11630,7166,60,4404
airport59nDr1nDe1,10062,5472,44,3994
airport5nDr0nDe1,10201,5531,44,4074
airport5nDr0nDe2,15889,8701,58,5170
airport5nDr0nDe3,23818,13470,76,6924
airport5nDr1nDe0,5611,2979,36,2596
airport5nDr1nDe1,14999,9037,62,5348
airport60nDr0nDe1,18673,12191,64,5866
airport60nDr0nDe2,23969,14933,78,6998
airport60nDr0nDe3,28925,17293,84,8188
airport60nDr1nDe0,16414,11174,64,5176
airport60nDr1nDe1,14148,8494,56,5046
airport61nDr0nDe1,9945,5367,44,3982
airport61nDr0nDe2,11441,5579,42,3858
airport61nDr0nDe3,9065,2583,28,3096
airport61nDr1nDe0,6919,4047,38,2834
airport61nDr1nDe1,5894,2480,30,2832
airport62nDr0nDe1,9770,5356,42,3820
airport62nDr0nDe2,9062,3926,34,3142
airport62nDr0nDe3,27289,16193,78,7654
airport62nDr1nDe0,7422,4486,40,2896
airport62nDr1nDe1,9770,5356,42,3820
airport63nDr0nDe1,10069,5327,46,4144
airport63nDr0nDe2,15729,8489,58,5214
airport63nDr0nDe3,13340,5416,44,4508
airport63nDr1nDe0,5352,2678,36,2638
airport63nDr1nDe1,10069,5327,46,4144
airport64nDr0nDe1,17761,11443,64,5702
airport64nDr0nDe2,16985,9721,56,5248
airport64nDr0nDe3,14391,6593,42,4398
airport64nDr1nDe0,7565,4585,40,2940
airport64nDr1nDe1,11892,7034,46,4260
airport65nDr0nDe1,27984,18678,92,8662
airport65nDr0nDe2,9281,4009,36,3268
airport65nDr0nDe3,33677,21073,92,9140
airport65nDr1nDe0,25327,17295,92,7940
airport65nDr1nDe1,20169,13259,72,6286
airport66nDr0nDe1,9802,5116,48,4086
airport66nDr0nDe2,12011,5797,48,4204
airport66nDr0nDe3,14481,6441,48,4636
airport66nDr1nDe0,4263,2063,32,2168
airport66nDr1nDe1,10024,5154,50,4268
airport67nDr0nDe1,23352,14950,84,7766
airport67nDr0nDe2,25519,15807,84,7664
airport67nDr0nDe3,28180,16618,84,8112
airport67nDr1nDe0,20662,13522,84,7056
airport67nDr1nDe1,19848,12794,76,6426
airport68nDr0nDe1,8753,4399,44,3758
airport68nDr0nDe2,7557,2657,32,2908
airport68nDr0nDe3,9753,3033,32,3340
airport68nDr1nDe0,2709,1127,26,1556
airport68nDr1nDe1,5934,2520,32,2830
airport69nDr0nDe1,7676,4110,32,2982
airport69nDr0nDe2,9139,3995,32,3152
airport69nDr0nDe3,25390,14532,74,7426
airport69nDr1nDe0,926,254,12,660
airport69nDr1nDe1,8246,4476,34,3184
airport6nDr0nDe1,27686,19152,88,7894
airport6nDr0nDe2,16435,9663,52,4764
airport6nDr0nDe3,33248,21292,88,8508
airport6nDr1nDe0,25152,17988,88,7076
airport6nDr1nDe1,14490,9052,54,4832
airport70nDr0nDe1,23844,16654,74,6564
airport70nDr0nDe2,19740,12238,60,5480
airport70nDr0nDe3,33074,21074,82,8558
airport70nDr1nDe0,13016,9060,50,3906
airport70nDr1nDe1,18207,12193,60,5402
airport71nDr0nDe1,19952,12302,76,7022
airport71nDr0nDe2,19939,11681,70,6226
airport71nDr0nDe3,19419,10053,60,5948
airport71nDr1nDe0,13993,8869,64,5060
airport71nDr1nDe1,18140,11182,72,6334
airport72nDr0nDe1,9611,5189,42,3828
airport72nDr0nDe2,15981,8915,54,5050
airport72nDr0nDe3,25932,14822,76,7664
airport72nDr1nDe0,3923,2059,26,1838
airport72nDr1nDe1,6796,3370,30,2844
airport73nDr0nDe1,23576,14786,90,8148
airport73nDr0nDe2,27026,16504,90,8466
airport73nDr0nDe3,29085,16965,90,8674
airport73nDr1nDe0,20007,13191,88,6728
airport73nDr1nDe1,22373,14307,88,7426
airport74nDr0nDe1,24428,15462,88,8326
airport74nDr0nDe2,26779,16533,88,8200
airport74nDr0nDe3,29334,17236,88,8648
airport74nDr1nDe0,21741,14049,88,7604
airport74nDr1nDe1,16661,10175,66,5868
airport75nDr0nDe1,18749,11659,78,6460
airport75nDr0nDe2,11182,5126,46,4050
airport75nDr0nDe3,13484,5622,46,4458
airport75nDr1nDe0,15188,9648,74,5466
airport75nDr1nDe1,6733,3003,36,3142
airport76nDr0nDe1,8698,4340,42,3764
airport76nDr0nDe2,10399,4555,42,3842
airport76nDr0nDe3,15213,6881,48,4936
airport76nDr1nDe0,6811,3695,42,3074
airport76nDr1nDe1,10531,5537,48,4394
airport77nDr0nDe1,6293,3059,28,2654
airport77nDr0nDe2,11199,5543,38,3662
airport77nDr0nDe3,17781,9317,50,5066
airport77nDr1nDe0,2986,1698,20,1268
airport77nDr1nDe1,9621,5323,40,3706
airport78nDr0nDe1,24003,15537,82,7832
airport78nDr0nDe2,27173,17089,82,8034
airport78nDr0nDe3,28772,17244,82,8074
airport78nDr1nDe0,20361,13949,80,6332
airport78nDr1nDe1,23343,15537,82,7172
airport79nDr0nDe1,26490,18276,82,7580
airport79nDr0nDe2,27460,18168,80,7252
airport79nDr0nDe3,29395,18563,76,7408
airport79nDr1nDe0,23876,17052,82,6742
airport79nDr1nDe1,14838,9740,48,4498
airport7nDr0nDe1,5379,2465,24,2338
airport7nDr0nDe2,8202,3318,30,2894
airport7nDr0nDe3,18501,9633,56,5464
airport7nDr1nDe0,896,444,8,444
airport7nDr1nDe1,5379,2465,24,2338
airport80nDr0nDe1,20511,12769,78,7112
airport80nDr0nDe2,23377,13895,78,7446
airport80nDr0nDe3,26168,14856,78,7878
airport80nDr1nDe0,17771,11635,78,6058
airport80nDr1nDe1,17774,10968,72,6182
airport81nDr0nDe1,19510,12020,74,6864
airport81nDr0nDe2,21778,12844,74,6902
airport81nDr0nDe3,9976,3186,32,3400
airport81nDr1nDe0,12884,8252,58,4574
airport81nDr1nDe1,6307,2801,32,2922
airport82nDr0nDe1,21567,13681,76,7258
airport82nDr0nDe2,21381,12853,72,6496
airport82nDr0nDe3,14858,6802,46,4662
airport82nDr1nDe0,18482,12310,76,6096
airport82nDr1nDe1,16196,9938,62,5644
airport83nDr0nDe1,20900,12886,78,7384
airport83nDr0nDe2,23767,14489,78,7238
airport83nDr0nDe3,17319,8597,54,5298
airport83nDr1nDe0,18033,11993,78,5962
airport83nDr1nDe1,19259,12225,76,6406
airport84nDr0nDe1,22872,14974,82,7264
airport84nDr0nDe2,24181,14989,80,7152
airport84nDr0nDe3,29343,17513,82,8370
airport84nDr1nDe0,17579,11879,72,5628
airport84nDr1nDe1,17463,11089,66,5756
airport85nDr0nDe1,25410,16320,90,8448
airport85nDr0nDe2,28227,17579,90,8590
airport85nDr0nDe3,30749,18341,90,8958
airport85nDr1nDe0,22234,14752,90,7392
airport85nDr1nDe1,23530,15340,88,7550
airport86nDr0nDe1,14299,8677,56,5014
airport86nDr0nDe2,15417,8457,54,4950
airport86nDr0nDe3,22918,13094,66,6386
airport86nDr1nDe0,8938,5442,46,3450
airport86nDr1nDe1,9864,5522,42,3748
airport87nDr0nDe1,18078,12384,54,5088
airport87nDr0nDe2,26136,17770,68,6336
airport87nDr0nDe3,31544,20378,76,7728
airport87nDr1nDe0,15398,11198,52,4148
airport87nDr1nDe1,13814,8796,48,4418
airport88nDr0nDe1,23444,15450,84,7358
airport88nDr0nDe2,26697,16445,86,8202
airport88nDr0nDe3,30069,17935,86,8678
airport88nDr1nDe0,14403,9167,68,5168
airport88nDr1nDe1,22182,14428,82,7120
airport8nDr0nDe1,24201,15519,90,8040
airport8nDr0nDe2,26195,16085,90,8058
airport8nDr0nDe3,27675,16415,86,7814
airport8nDr1nDe0,18801,12569,82,6150
airport8nDr1nDe1,17234,10740,70,5872
airport90nDr0nDe1,10867,5857,50,4408
airport90nDr0nDe2,12611,6115,50,4486
airport90nDr0nDe3,14468,6410,48,4656
airport90nDr1nDe0,3655,1795,28,1832
airport90nDr1nDe1,8181,3931,44,3654
airport91nDr0nDe1,18242,11536,70,6084
airport91nDr0nDe2,22290,13210,74,7046
airport91nDr0nDe3,26166,15018,74,7702
airport91nDr1nDe0,13325,8809,58,4458
airport91nDr1nDe1,18242,11536,70,6084
airport92nDr0nDe1,18720,11842,72,6254
airport92nDr0nDe2,12046,5706,50,4334
airport92nDr0nDe3,14452,6310,50,4734
airport92nDr1nDe0,12692,7932,62,4698
airport92nDr1nDe1,10107,5341,50,4164
airport93nDr0nDe1,23533,14815,90,8076
airport93nDr0nDe2,26288,15944,90,8290
airport93nDr0nDe3,29332,17148,90,8722
airport93nDr1nDe0,18927,12375,84,6468
airport93nDr1nDe1,20952,13190,84,7126
airport94nDr0nDe1,16206,9704,66,5884
airport94nDr0nDe2,27461,17047,88,8364
airport94nDr0nDe3,21508,11654,66,6426
airport94nDr1nDe0,9320,5444,54,3822
airport94nDr1nDe1,21407,13793,80,6982
airport95nDr0nDe1,10008,5282,46,4128
airport95nDr0nDe2,11304,5336,42,3966
airport95nDr0nDe3,13687,5877,42,4398
airport95nDr1nDe0,7902,4662,42,3198
airport95nDr1nDe1,7472,3450,38,3432
airport96nDr0nDe1,21250,13092,80,7526
airport96nDr0nDe2,23770,14378,80,7348
airport96nDr0nDe3,17414,8568,56,5440
airport96nDr1nDe0,18773,11889,80,6804
airport96nDr1nDe1,18550,11768,72,6158
airport97nDr0nDe1,20742,14320,64,5806
airport97nDr0nDe2,24943,16151,68,6756
airport97nDr0nDe3,26661,16091,68,7124
airport97nDr1nDe0,13861,9769,52,4040
airport97nDr1nDe1,15116,9754,52,4758
airport98nDr0nDe1,16622,10332,62,5676
airport98nDr0nDe2,23392,14714,72,6644
airport98nDr0nDe3,20422,11000,60,6000
airport98nDr1nDe0,9685,6009,48,3628
airport98nDr1nDe1,16179,10045,60,5522
airport99nDr0nDe1,22537,14115,82,7788
airport99nDr0nDe2,8505,3441,34,3074
airport99nDr0nDe3,28310,16548,82,8322
airport99nDr1nDe0,20700,13556,82,7062
airport99nDr1nDe1,20189,13043,74,6520
airport9nDr0nDe1,28439,18797,94,8996
airport9nDr0nDe2,30651,19703,94,8886
airport9nDr0nDe3,33304,20582,94,9254
airport9nDr1nDe0,25646,17302,94,8250
airport9nDr1nDe1,22466,14876,82,6956
airportAP0None,32762,17910,132,11774
airportAP0Tini-1,15944,10992,44,3926
airportAP0Tini-2,15974,10992,44,3956
airportAP0Tini0,15910,10992,44,3892
airportAP10None,25266,14334,138,10794
airportAP10Tini-1,14140,10496,46,3598
airportAP10Tini-2,14170,10496,46,3628
airportAP10Tini0,14110,10496,46,3568
airportAP11None,23697,13179,123,10395
airportAP11Tini-1,13194,9688,41,3465
airportAP11Tini-2,13210,9688,41,3481
airportAP11Tini0,13178,9688,41,3449
airportAP12None,38016,21480,147,13455
airportAP12Tini-1,18762,13248,49,4487
airportAP12Tini-2,18778,13248,49,4503
airportAP12Tini0,18740,13248,49,4465
airportAP13None,25029,14193,135,10701
airportAP13Tini-1,14020,10408,45,3567
airportAP13Tini-2,14048,10408,45,3595
airportAP13Tini0,13992,10408,45,3539
airportAP14None,30177,18345,135,11697
airportAP14Tini-1,17058,13114,45,3899
airportAP14Tini-2,17076,13114,45,3917
airportAP14Tini0,17040,13114,45,3881
airportAP15None,29875,17389,126,11534
airportAP15Tini-1,15765,11600,42,3847
airportAP15Tini-2,15785,11600,42,3867
airportAP15Tini0,15737,11601,42,3820
airportAP16None,23028,12630,126,10272
airportAP16Tini-1,12798,9332,42,3424
airportAP16Tini-2,12822,9332,42,3448
airportAP16Tini0,12774,9332,42,3400
airportAP17None,31463,16608,129,11795
airportAP17Tini-1,15163,10210,43,3933
airportAP17Tini-2,15181,10210,43,3951
airportAP17Tini0,15141,10210,43,3911
airportAP18None,31791,16929,132,11790
airportAP18Tini-1,15336,10382,44,3930
airportAP18Tini-2,15360,10382,44,3954
airportAP18Tini0,15312,10382,44,3906
airportAP19None,23487,13167,126,10194
airportAP19Tini-1,13132,9692,42,3398
airportAP19Tini-2,13160,9692,42,3426
airportAP19Tini0,13104,9692,42,3370
airportAP1None,26146,13776,129,11431
airportAP1Tini-1,13313,9189,43,3811
airportAP1Tini-2,13339,9188,43,3836
airportAP1Tini0,13285,9190,43,3784
airportAP20None,24832,13278,135,11419
airportAP20Tini-1,13614,9762,45,3807
airportAP20Tini-2,13618,9762,45,3811
airportAP20Tini0,13608,9762,45,3801
airportAP21None,38118,20631,132,12312
airportAP21Tini-1,17854,12025,44,4104
airportAP21Tini-2,17882,12025,44,4132
airportAP21Tini0,17826,12025,44,4076
airportAP22None,24846,14304,126,10416
airportAP22Tini-1,13962,10448,42,3472
airportAP22Tini-2,13984,10448,42,3494
airportAP22Tini0,13940,10448,42,3450
airportAP23None,31890,15732,114,11016
airportAP23Tini-1,14503,9117,38,3672
airportAP23Tini-2,14523,9117,38,3692
airportAP23Tini0,14483,9117,38,3652
airportAP24None,32724,18285,126,11376
airportAP24Tini-1,16065,11252,42,3792
airportAP24Tini-2,16095,11252,42,3822
airportAP24Tini0,16035,11252,42,3762
airportAP25None,22774,11832,132,10810
airportAP25Tini-1,12388,8740,44,3604
airportAP25Tini-2,12400,8740,44,3616
airportAP25Tini0,12374,8740,44,3590
airportAP26None,25675,14487,141,11047
airportAP26Tini-1,14360,10630,47,3683
airportAP26Tini-2,14392,10630,47,3715
airportAP26Tini0,14326,10630,47,3649
airportAP27None,24522,13590,135,10797
airportAP27Tini-1,13650,10006,45,3599
airportAP27Tini-2,13676,10006,45,3625
airportAP27Tini0,13624,10006,45,3573
airportAP28None,32715,17580,129,12063
airportAP28Tini-1,15907,10860,43,4023
airportAP28Tini-2,15913,10860,43,4029
airportAP28Tini0,15895,10860,43,4011
airportAP29None,25137,15039,123,9975
airportAP29Tini-1,14304,10938,41,3325
airportAP29Tini-2,14332,10938,41,3353
airportAP29Tini0,14276,10938,41,3297
airportAP2None,22965,12741,129,10095
airportAP2Tini-1,12850,9442,43,3365
airportAP2Tini-2,12878,9442,43,3393
airportAP2Tini0,12822,9442,43,3337
airportAP30None,22188,11934,126,10128
airportAP30Tini-1,12292,8874,42,3376
airportAP30Tini-2,12322,8874,42,3406
airportAP30Tini0,12262,8874,42,3346
airportAP31None,22458,12270,120,10068
airportAP31Tini-1,12478,9082,40,3356
airportAP31Tini-2,12488,9082,40,3366
airportAP31Tini0,12468,9082,40,3346
airportAP32None,22863,12285,129,10449
airportAP32Tini-1,12648,9122,43,3483
airportAP32Tini-2,12672,9122,43,3507
airportAP32Tini0,12624,9122,43,3459
airportAP33None,34771,18801,141,12895
airportAP33Tini-1,16872,11548,47,4299
airportAP33Tini-2,16886,11548,47,4313
airportAP33Tini0,16856,11548,47,4283
airportAP34None,24858,14628,123,10107
airportAP34Tini-1,14060,10650,41,3369
airportAP34Tini-2,14088,10650,41,3397
airportAP34Tini0,14032,10650,41,3341
airportAP35None,33179,18360,129,11759
airportAP35Tini-1,16227,11286,43,3921
airportAP35Tini-2,16253,11286,43,3947
airportAP35Tini0,16197,11286,43,3891
airportAP36None,32973,17742,129,12159
airportAP36Tini-1,15997,10920,43,4053
airportAP36Tini-2,16013,10920,43,4069
airportAP36Tini0,15981,10920,43,4037
airportAP37None,23999,12579,138,11282
airportAP37Tini-1,13078,9270,46,3762
airportAP37Tini-2,13094,9270,46,3778
airportAP37Tini0,13058,9270,46,3742
airportAP38None,29742,15255,126,11418
